,Name,Rating,Reviews,Price,Street Name,Zip Code,City,Cluster
172,Yanagi Kitchen - Manhattan Beach,4.5,174,2,N,90266,Manhattan Beach,1
173,Sushi by Scratch Restaurants: LA,4.5,191,4,Ventura,91436,Los Angeles,1
174,Sugarfish by Sushi Nozawa - Manhattan Beach,4.0,316,3,12th,90266,Manhattan Beach,1
175,Sushi Note,4.0,273,4,Ventura,91423,Los Angeles,1
176,Mrs Fish,4.0,1427,2,South,90013,Los Angeles,0
177,Hama Sushi,3.5,583,2,Windward,90291,Venice,1
178,Yen Sushi & Sake Bar - Los Angeles,4.0,304,2,Hillhurst,90027,Los Angeles,1
179,Chiba Restaurant,4.5,821,2,Lankershim,91605,North Hollywood,1
180,Matsuhisa,4.0,1210,4,N,90211,Beverly Hills,1
181,Fifty One,4.0,576,2,Washington,90232,Culver City,1
182,Tomi Sushi,4.0,296,2,Culver,90066,Los Angeles,1
183,Katsuya Hollywood,3.5,2014,3,Hollywood,90028,Los Angeles,0
184,BAD Sushi,4.0,627,2,Santa,90025,Los Angeles,1
185,Taiko,4.0,274,2,San,90049,Los Angeles,1
186,Miyako Express,4.0,257,2,W,90045,Los Angeles,1
187,Shibuya,4.5,914,3,Park,91302,Calabasas,1
188,Asanebo,4.0,641,4,Ventura,91604,Studio City,1
189,Casa Noodle Teriyaki,4.5,160,1,S,90003,Los Angeles,1
190,Haruka Sake and Sushi,4.5,151,2,Foothill,91011,La Cañada Flintridge,1
191,Sushi Kaneyoshi,4.5,55,4,S,90012,Los Angeles,1
192,Sushi Q,4.0,205,1,W,90028,Los Angeles,1
193,FIN Asian Tapas - Culver City,4.0,885,3,W,90066,Culver City,1
194,Roll Call - Miracle Mile,4.5,86,0,Wilshire,90036,Los Angeles,1
195,Sunny Blue,4.5,1462,1,Main,90405,Santa Monica,0
196,Nobu Los Angeles,4.0,1514,4,N,90069,Los Angeles,0
197,Daichan,4.5,1024,2,Ventura,91604,Studio City,1
198,Ajisai,4.5,427,2,Palm,90069,West Hollywood,1
199,Crave Cafe Sushi,4.0,928,2,Ventura,91403,Los Angeles,1
200,Sake Sake Japanese Cuisine,4.0,285,2,Foothill,91040,Sunland,1
201,The Little Izaka-Ya by Katsu-Ya Sherman Oaks,4.0,688,2,Sepulveda,91403,Sherman Oaks,1
202,Roll Roll Roll,4.0,989,1,Wilshire,90010,Los Angeles,1
203,Summer Fish & Rice,4.0,420,2,S,90211,Beverly Hills,1
204,SHIN,4.0,1051,2,N,90028,Los Angeles,1
205,Takeshy town,4.0,10,0,Venice,90034,Los Angeles,1
206,Kanpai Santa Monica,4.0,187,2,Wilshire,90403,Santa Monica,1
207,Sushiko,3.5,282,2,W,90035,Los Angeles,1
208,JOEY DTLA,4.0,2398,0,W,90017,Los Angeles,0
209,Hakata Izakaya HERO,4.5,131,0,Westwood,90025,West Los Angeles,1
210,Sushi Zo | West Los Angeles,4.0,768,4,National,90034,Los Angeles,1
211,Kinjiro,4.5,440,3,E,90012,Los Angeles,1
212,Sushi Ran,4.0,892,2,Riverside,91602,North Hollywood,1
213,Chinchikurin - Sawtelle,4.5,748,2,Sawtelle,90025,Los Angeles,1
214,Aikan Sushi and Ramen - Pasadena,4.5,2618,3,E,91101,Pasadena,0
215,YAZAWA,4.5,339,4,S,90210,Beverly Hills,1
216,Marugame Monzo,4.5,4485,2,E,90012,Los Angeles,0
217,Yasu Beverly Hills,4.5,76,4,S,90211,Beverly Hills,1
218,Lotus Dim Sum Dumpling House,4.0,199,2,Wilshire,90401,Santa Monica,1
219,Sushi Gozen,4.5,54,0,Ocean,90401,Santa Monica,1
220,Mariscos Y Sushi Los Tomateros,4.5,130,2,State,90262,Lynwood,1
221,Kinza Sushi Japanese Restaurant,4.5,252,2,Van,91403,Los Angeles,1
222,Totoyama Sushi & Ramen,4.0,499,2,Hollywood,90028,Los Angeles,1
223,Izakaya Sasaya,3.5,586,2,Santa,90025,Los Angeles,1
224,Sushi King,4.0,671,2,Wilshire,90403,Santa Monica,1
225,Kokoro,4.5,72,2,S,91754,Monterey Park,1
226,Pearl Dragon,4.0,208,2,W,90272,Pacific Palisades,1
227,Matsumoto,4.5,167,4,Beverly,90048,Los Angeles,1
228,Echigo,4.0,490,3,Santa,90025,Los Angeles,1
229,Kazoku Sushi,4.0,510,2,Hollywood,90027,Los Angeles,1
230,UOBEI,5.0,79,2,W,90015,Los Angeles,1
231,KazuNori - Koreatown,4.5,102,2,W,90020,Los Angeles,1
232,Sushi Zo  | Downtown Los Angeles,4.5,337,4,S,90013,Los Angeles,1
233,Hillstone,4.0,1268,3,Wilshire,90401,Santa Monica,1
234,KinKan,4.5,77,4,N,90029,Los Angeles,1
235,Rice,4.5,695,2,Manhattan,90266,Manhattan Beach,1
236,Sake 2 Me Sushi,4.0,3684,3,South,90703,Cerritos,0
237,Jo & Go House,4.5,115,1,Sherman,91406,Los Angeles,1
238,Izakaya Mi Young,4.0,99,0,Wilshire,90010,Los Angeles,1
239,Negroni,4.5,73,0,W,90048,Los Angeles,1
240,7455 SUSHI by Roshi,4.5,19,0,Melrose,90046,Los Angeles,1
241,Afc Sushi,5.0,2,0,Culver,90232,Culver City,1
242,The Naughty Fox,4.5,239,2,Crescent,90704,Avalon,1
243,La Zona Sushi,4.5,70,2,E,90001,Los Angeles,1
